Date,GDP_Spread,Gold_USD,Inflation_Spread,Oil_USD,Policy_Spread,Trade_Balance,USD_CAD_FX
5/31/2024,0.0027,2354.7,0.0037,80.025,0.33,8781.4,1.367
6/30/2024,0.0071,2336.6,0.003,79.767,0.543,8048.7,1.3707
7/31/2024,0.0071,2438.5,0.0041,81.8,0.634,10278.2,1.3712
8/31/2024,0.0071,2536.7,0.0066,76.683,0.83,7535.3,1.3652
9/30/2024,0.0043,2647.9,0.0079,70.236,0.844,7889.2,1.3546
10/31/2024,0.0043,2749.3,0.0055,71.985,0.71,6744.9,1.3755
11/30/2024,0.0043,2652.3,0.0082,69.95,0.89,8364.1,1.3975
12/31/2024,0.0036,2618.1,0.0104,70.118,1.048,11944.5,1.424
1/31/2025,0.0036,2845.2,0.011,75.743,1.102,13886.2,1.439
2/28/2025,0.0036,2895.9,0.0017,71.533,1.33,10660.8,1.4301
3/31/2025,0.0019,3150.3,0.0009,68.239,1.485,7020.1,1.4359
4/30/2025,0.0019,3319.1,0.0059,63.537,1.58,3363.5,1.3988
5/31/2025,0.0019,3343.9,0.0064,62.168,1.58,3391.4,1.386
6/30/2025,0.0195,3307.7,0.0081,68.169,1.58,4042.5,1.3674
7/31/2025,0.0195,3348.6,0.01,68.391,1.58,6961.9,1.3691
8/31/2025,0.0195,3512,0.0109,64.864,1.58,5735.4,1.3802
9/30/2025,0.0137,3873.2,0.0066,63.959,1.572,8400,1.3833
10/31/2025,0.0137,4013.3,0.0086,60.895,1.613,5233.2,1.3992
11/30/2025,0.0137,4254.9,0.0078,60.062,1.63,6580,1.4055
12/31/2025,0.0137,4357.1,0.0067,57.972,1.47,5432,1.3802
